학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/2학기,전공선택,EUR001,생활독일어,3(3)
1학년/2학기,전공선택,EUR002,생활프랑스어,3(3)
2학년/1학기,전공선택,ENL045,영국문학사,3(3)
2학년/1학기,전공선택,ENL105,영어회화(1),3(3)
2학년/1학기,전공선택,FRL131,프랑스문학의이해와감상,3(3)
2학년/2학기,전공선택,POL013,국제정치론,3(3)
2학년/2학기,전공선택,HST069,서양고중세사,3(3)
2학년/2학기,전공선택,ENL106,영어회화(2),3(3)
2학년/2학기,전공선택,POL051,유럽정치론,3(3)
3학년/1학기,전공선택,GEL139,독일영화와사회,3(3)
3학년/1학기,전공선택,HST005,서양근대사,3(3)
3학년/1학기,전공선택,HST031,서양의인물과사상,3(3)
3학년/1학기,전공선택,POL096,선거와정당,3(3)
3학년/1학기,전공선택,EUS003,유럽통합론,3(3)
3학년/1학기,전공선택,GEL120,현대독일의언어문화,3(3)
3학년/2학기,전공선택,IEB014,국제경제관계론,3(3)
3학년/2학기,전공선택,HST009,서양현대사,3(3)
3학년/2학기,전공선택,HST065,영국의역사와문화,3(3)
3학년/2학기,전공선택,FRL120,프랑스영화읽기,3(3)
4학년/1학기,전공선택,IEB040,국제통상환경,3(3)
4학년/1학기,전공선택,IEB044,글로벌마케팅,3(3)
4학년/1학기,전공선택,EUS002,유럽학취업실습1,3(3)
4학년/2학기,전공선택,IEB004,FTA실무와활용,3(3)
4학년/2학기,전공선택,EUS001,유럽학취업실습2,3(3)
