학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공선택,HST039,동아시아사의이해,3(3)
1학년/1학기,전공선택,ANT025,문화인류학개론,3(3)
1학년/1학기,전공선택,SOC090,사회학으로의초대,3(3)
1학년/1학기,전공선택,HST018,한국사의이해,3(3)
1학년/2학기,전공선택,HST026,서양사의이해,3(3)
1학년/2학기,전공선택,POL075,정치학원론,3(3)
2학년/1학기,전공선택,EC0006,거시경제학,3(3)
2학년/1학기,전공선택,ANT002,경제와사회,3(3)
2학년/1학기,전공선택,EC0076,미시경제학,3(3)
2학년/1학기,전공선택,HST003,사학개론,3(3)
2학년/1학기,전공선택,PHI046,윤리학,3(3)
2학년/1학기,전공선택,EDU076,학생상담의이론과실제,3(3)
2학년/2학기,전공선택,EC0064,노동경제학,3(3)
2학년/2학기,전공선택,SOC020,사회문제론,3(3)
2학년/2학기,전공선택,EDU052,서양윤리사상과교육,3(3)
2학년/2학기,전공선택,POL041,서양정치사상,3(3)
2학년/2학기,전공선택,CSS003,인문지리학,3(3)
2학년/2학기,전공선택,HST016,한국근대사,3(3)
3학년/1학기,전공선택,T00170,사회교육론,3(3)
3학년/1학기,전공선택,CSS002,세계지리,3(3)
3학년/1학기,전공선택,HST028,조선의사회와문화,3(3)
3학년/1학기,전공선택,POL082,한국정치론,3(3)
3학년/2학기,전공선택,EDU111,미래사회와혁신교육,3(3)
3학년/2학기,전공선택,T00179,사회교재연구및지도법,3(3)
3학년/2학기,전공선택,SOC084,사회복지학개론,3(3)
3학년/2학기,전공선택,PHI047,응용윤리학,3(3)
4학년/1학기,전공선택,ANT026,문화인류학과현대사회,3(3)
4학년/1학기,전공선택,T00156,사회논리및논술,2(2)
4학년/2학기,전공선택,PHI025,사회정치철학,3(3)
