학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공선택,CEE034,그린에너지공학,3(3)
2학년/1학기,전공선택,PHY154,전자회로와실습,3(5)
2학년/1학기,전공선택,PHY143,현대물리학,3(3)
2학년/2학기,전공선택,EHC001,AI및빅데이터프로세싱,3(3)
2학년/2학기,전공선택,CEC023,고체화학,3(3)
2학년/2학기,전공선택,PHY160,신재생에너지물리실험,2(4)
2학년/2학기,전공선택,ACE016,양자화학,3(3)
2학년/2학기,전공선택,CES016,양자화학,3(3)
2학년/2학기,전공선택,ACE019,유기화학(2),3(3)
2학년/2학기,전공선택,CPB014,유기화학(2),3(3)
2학년/2학기,전공선택,PHY123,전자기학(1),3(3)
3학년/1학기,전공선택,PHY074,양자역학(1),3(3)
3학년/1학기,전공선택,PHY165,에너지물리개론,3(3)
3학년/1학기,전공선택,PHY077,에너지와광학,3(3)
3학년/1학기,전공선택,ACE017,열전달,3(3)
3학년/1학기,전공선택,CES017,열전달,3(3)
3학년/1학기,전공선택,CEE059,전기화학공학,3(3)
3학년/1학기,전공선택,PHY168,현대물리응용실험(종합설계),2(4)
3학년/2학기,전공선택,PHY008,고체물리학,3(3)
3학년/2학기,전공선택,PHY084,열및통계물리학,3(3)
3학년/2학기,전공선택,CEE033,태양전지소재,3(3)
3학년/2학기,전공선택,PHY169,현대광학응용실험,2(4)
4학년/1학기,전공선택,PHY029,나노물리개론,2(2)
4학년/1학기,전공선택,PHY151,물리창의실험1(캡스톤디자인),2(4)
4학년/1학기,전공선택,EHC003,스마트에너지환경공학,3(3)
4학년/1학기,전공선택,CEE031,전자재료공정,3(3)
4학년/2학기,전공선택,CEC036,고분자전자재료,3(3)
4학년/2학기,전공선택,CEC037,광전소자제작실습,2(4)
4학년/2학기,전공선택,CEE040,광전소자특성평가,3(3)
4학년/2학기,전공선택,PHY173,반도체나노공정실험,2(4)
4학년/2학기,전공선택,CEC046,에너지와녹색기술,3(3)
