학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공선택,RME065,공학입문설계,2(3)
1학년/1학기,전공선택,ACC065,회계와사회,3(3)
1학년/2학기,전공선택,RME066,3D모델링,2(3)
1학년/2학기,전공선택,RME069,MATLAB프로그래밍,2(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
1학년/2학기,전공선택,ACC063,회계와파이썬,3(3)
1학년/2학기,전공선택,ACC014,회계원리,3(3)
2학년/1학기,전공선택,BUS033,경영정보시스템,3(3)
2학년/1학기,전공선택,MEC063,기계재료,3(3)
2학년/1학기,전공선택,TIE001,기업가정신프랙티스,3(3)
2학년/1학기,전공선택,ACC028,세무학기초,3(3)
2학년/1학기,전공선택,ACC008,원가회계,3(3)
2학년/2학기,전공선택,MEC042,기계공작법,3(3)
2학년/2학기,전공선택,BUS096,벤처경영과기업가정신,3(3)
2학년/2학기,전공선택,BUS011,소비자행동론,3(3)
2학년/2학기,전공선택,CES036,에너지수지,3(3)
3학년/1학기,전공선택,MEC069,기계진동,3(3)
3학년/1학기,전공선택,BUS081,조직이론과설계,3(3)
3학년/2학기,전공선택,RME050,기구전산설계,2(3)
3학년/2학기,전공선택,CEC049,이차전지,3(3)
3학년/2학기,전공선택,TIE003,창업트렌드와성공전략,3(3)
4학년/1학기,전공선택,MEC156,자동제어,3(3)
4학년/1학기,전공선택,CEE031,전자재료공정,3(3)
4학년/1학기,전공선택,CPB016,화공세미나,1(1)
4학년/2학기,전공선택,RME048,고급프로그래밍,2(3)
4학년/2학기,전공선택,MEC157,자동차공학,3(3)
4학년/2학기,전공선택,BUS039,제품혁신전략,3(3)
4학년/2학기,전공선택,CPB016,화공세미나,1(1)
